Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,Detroit Tigers,43,24,0.642,W 1,4.9,3.5,1.4,0.0,1.3,43-24,0.0,10-2,13-8,7-6,13-8,23-9,20-15,2-4,12-7,31-20,12-4,25-19,18-5,6-4,12-8,19-11
2.0,New York Mets,42,24,0.636,W 3,4.6,3.3,1.3,-0.2,1.1,43-23,-1.0,9-4,9-4,13-6,11-10,24-7,18-17,3-3,13-10,33-17,9-7,20-12,22-12,8-2,13-7,19-11
3.0,New York Yankees,39,25,0.609,L 2,5.5,4.0,1.5,-0.1,1.4,41-23,-2.0,8-8,7-5,10-2,14-10,21-12,18-13,1-3,11-11,31-19,8-6,24-16,15-9,5-5,13-7,20-10
4.0,Chicago Cubs,40,26,0.606,L 2,5.5,4.0,1.6,-0.1,1.5,43-23,-3.0,8-8,8-4,15-11,9-3,20-11,20-15,3-4,9-5,30-17,10-9,17-18,23-8,5-5,13-7,18-12
5.0,Los Angeles Dodgers,40,27,0.597,W 2,5.6,4.5,1.1,0.0,1.1,40-27,0.0,15-10,6-7,8-3,11-7,23-11,17-16,6-3,11-9,31-16,9-11,16-14,24-13,5-5,11-9,15-15
6.0,San Francisco Giants,38,28,0.576,W 5,4.1,3.4,0.7,-0.1,0.6,38-28,0.0,9-4,8-5,6-7,15-12,22-11,16-17,5-3,16-12,32-16,6-12,21-20,17-8,7-3,11-9,16-14
7.0,Philadelphia Phillies,38,28,0.576,W 1,4.6,4.3,0.2,-0.2,0.0,35-31,3.0,9-9,8-11,13-4,8-4,20-12,18-16,5-4,12-8,29-16,9-12,15-17,23-11,2-8,10-10,17-13
8.0,San Diego Padres,37,28,0.569,L 1,4.1,3.8,0.3,-0.1,0.2,34-31,3.0,8-2,10-5,9-4,10-17,20-11,17-17,3-4,14-9,26-18,11-10,15-22,22-6,5-5,10-10,14-16
9.0,Houston Astros,36,29,0.554,L 1,4.0,3.7,0.4,0.1,0.5,35-30,1.0,6-4,10-8,10-6,10-11,22-12,14-17,3-0,10-7,31-27,5-2,27-23,9-6,6-4,13-7,19-11
10.0,Toronto Blue Jays,36,30,0.545,W 1,4.3,4.3,0.0,0.0,0.0,33-33,3.0,10-12,4-5,11-8,11-5,22-13,14-17,5-2,10-8,28-24,8-6,16-21,20-9,8-2,14-6,20-10
11.0,St. Louis Cardinals,36,30,0.545,L 2,4.6,4.2,0.4,0.1,0.6,36-30,0.0,10-9,8-5,5-1,13-15,22-12,14-18,1-5,12-9,24-19,12-11,21-18,15-12,4-6,10-10,19-11
12.0,Tampa Bay Rays,36,30,0.545,W 2,4.5,3.7,0.8,0.0,0.7,39-27,-3.0,10-7,2-4,8-8,16-11,23-20,13-10,4-2,12-11,26-20,10-10,19-16,17-14,7-3,15-5,20-10
13.0,Minnesota Twins,35,30,0.538,W 1,4.2,3.7,0.6,-0.1,0.4,37-28,-2.0,10-5,10-12,8-5,7-8,19-10,16-20,3-4,7-10,30-26,5-4,17-23,18-7,5-5,10-10,20-10
14.0,Cleveland Guardians,34,31,0.523,L 1,3.9,4.2,-0.3,0.1,-0.2,30-35,4.0,7-8,14-5,4-5,9-13,18-14,16-17,4-1,8-5,30-19,4-12,21-23,13-8,4-6,9-11,14-16
15.0,Milwaukee Brewers,35,32,0.522,L 2,4.4,4.1,0.3,0.1,0.3,35-32,0.0,3-1,9-8,5-8,18-15,19-13,16-19,3-2,10-9,22-23,13-9,21-23,14-9,6-4,13-7,16-14
16.0,Kansas City Royals,34,32,0.515,W 1,3.4,3.6,-0.1,0.1,0.0,32-34,2.0,8-7,13-14,3-3,10-8,19-13,15-19,4-3,12-9,27-28,7-4,21-26,13-6,5-5,9-11,14-16
17.0,Seattle Mariners,33,32,0.508,L 1,4.4,4.5,-0.1,-0.2,-0.3,32-33,1.0,5-10,5-4,15-10,8-8,16-17,17-15,4-6,13-10,22-24,11-8,14-17,19-15,3-7,7-13,12-18
18.0,Cincinnati Reds,34,33,0.507,W 4,4.6,4.0,0.6,-0.1,0.5,38-29,-4.0,3-7,10-13,9-3,12-10,18-16,16-17,1-5,6-10,26-20,8-13,17-19,17-14,6-4,11-9,16-14
19.0,Arizona Diamondbacks,32,34,0.485,W 1,5.0,5.2,-0.2,0.2,0.0,32-34,0.0,13-11,6-13,7-6,6-4,16-17,16-17,3-5,10-12,23-24,9-10,18-24,14-10,5-5,8-12,13-17
